1
1000 4000
AAA BGJ 768.55
AAB AON 476.40
AAC BEF 316.85
AAD AHK 127.65
AAE APF 608.21
AAF AJY 2.51
AAG AFL 71.14
AAH ALO 945.76
AAI BIO 580.37
AAJ AEB 440.54
AAK AVG 962.29
AAL ANF 752.90
AAM AIC 741.70
AAN AIF 82.64
AAO AOI 987.65
AAP AXW 406.11
AAQ AJR 595.65
AAR AJQ 413.50
AAS AEL 993.89
AAT AIC 354.42
AAU BAR 645.10
AAV AYA 88.21
AAW APH 691.87
AAX AIQ 82.77
AAY AMT 466.47
AAZ AIU 706.81
ABA AMM 308.83
ABB APP 955.71
ABC AHF 545.34
ABD ALN 356.19
ABE AWK 265.59
ABF AEU 452.72
ABG AXY 808.33
ABH AIO 773.74
ABI AGN 407.37
ABJ AXC 567.85
ABK AXI 648.62
ABL ABX 932.24
ABM BGV 853.55
ABN ANQ 776.25
ABO AZJ 701.84
ABP AQE 75.82
ABQ ATL 269.83
ABR ATX 388.25
ABS BEQ 396.93
ABT AXG 511.69
ABU AQZ 833.78
ABV AVS 850.81
ABW BFB 830.63
ABX AFW 771.38
ABY BJN 79.76
ABZ AHJ 617.52
ACA AMR 158.81
ACB AWQ 232.40
ACC AIK 891.82
ACD BBR 659.42
ACE BHS 818.77
ACF BHC 94.91
ACG AZS 93.82
ACH AQL 67.29
ACI BIO 554.65
ACJ BGL 643.83
ACK ARW 706.91
ACL AEC 357.59
ACM BIO 282.72
ACN AXC 102.59
ACO ANZ 631.73
ACP ACD 417.91
ACQ AOU 596.92
ACR AIT 966.43
ACS BKC 986.02
ACT ASL 572.98
ACU BEJ 688.14
ACV AHO 56.91
ACW AQE 314.57
ACX AKO 599.75
ACY ANV 703.19
ACZ ANY 584.70
ADA AIV 738.23
ADB ARF 274.69
ADC BCA 71.27
ADD ALP 710.48
ADE AHJ 424.43
ADF ASU 657.08
ADG BBB 105.75
ADH AGV 837.15
ADI AOB 576.41
ADJ BFC 60.08
ADK BAX 241.54
ADL BLB 373.56
ADM AMU 404.72
ADN AFN 752.38
ADO ACI 380.43
ADP AIK 845.05
ADQ BLM 442.89
ADR BDP 466.66
ADS ACO 660.54
ADT ATE 380.70
ADU AFA 632.57
ADV AHD 269.86
ADW ACB 988.33
ADX BFV 993.62
ADY BBV 844.18
ADZ BJO 156.35
AEA BMD 497.74
AEB AJM 968.87
AEC ASJ 503.23
AED AOC 337.41
AEE AJN 548.89
AEF AGX 329.37
AEG AXF 302.21
AEH AYE 669.48
AEI AOG 300.21
AEJ AYG 211.26
AEK ARW 415.00
AEL BAJ 998.15
AEM AUK 915.17
AEN ALB 295.12
AEO AFR 372.53
AEP AOP 172.11
AEQ ARI 981.39
AER BFI 936.26
AES AOD 352.80
AET AGN 695.33
AEU ASC 619.66
AEV AUU 893.48
AEW AYY 984.25
AEX BES 211.68
AEY AYW 103.70
AEZ BHM 544.28
AFA AWY 231.10
AFB BLR 249.08
AFC AQE 861.26
AFD BCD 232.66
AFE BFX 995.68
AFF ACH 431.10
AFG ADK 872.79
AFH AVN 952.25
AFI AEG 968.08
AFJ BDU 127.29
AFK AQN 999.32
AFL ANT 673.14
AFM BGC 74.30
AFN BEU 595.07
AFO BKA 798.32
AFP BKG 696.71
AFQ AWH 8.84
AFR AAK 502.73
AFS BIH 653.51
AFT AKL 430.93
AFU AVJ 467.20
AFV AAA 116.82
AFW BIY 556.44
AFX ARK 729.11
AFY BME 43.70
AFZ ALR 275.78
AGA AJL 204.22
AGB BGU 190.12
AGC AUA 324.31
AGD AKE 620.04
AGE ABB 88.08
AGF BAQ 152.06
AGG BGA 589.58
AGH ALY 967.02
AGI AFR 717.23
AGJ ARC 55.81
AGK AKE 587.02
AGL BAW 687.96
AGM BBF 405.24
